TEAM_ID_HOME,TEAM_ID_AWAY,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,PTS_PAINT_HOME,PTS_2ND_CHANCE_HOME,PTS_FB_HOME,LARGEST_LEAD_HOME,LEAD_CHANGES_HOME,TIMES_TIED_HOME,TEAM_TURNOVERS_HOME,TOTAL_TURNOVERS_HOME,TEAM_REBOUNDS_HOME,PTS_OFF_TO_HOME,PTS_PAINT_AWAY,PTS_2ND_CHANCE_AWAY,PTS_FB_AWAY,LARGEST_LEAD_AWAY,LEAD_CHANGES_AWAY,TIMES_TIED_AWAY,TEAM_TURNOVERS_AWAY,TOTAL_TURNOVERS_AWAY,TEAM_REBOUNDS_AWAY,PTS_OFF_TO_AWAY,ATTENDANCE,PTS_QTR1_HOME,PTS_QTR2_HOME,PTS_QTR3_HOME,PTS_QTR4_HOME,PTS_OT1_HOME,PTS_OT2_HOME,PTS_OT3_HOME,PTS_OT4_HOME,PTS_OT5_HOME,PTS_OT6_HOME,PTS_OT7_HOME,PTS_OT8_HOME,PTS_OT9_HOME,PTS_OT10_HOME,PTS_QTR1_AWAY,PTS_QTR2_AWAY,PTS_QTR3_AWAY,PTS_QTR4_AWAY,PTS_OT1_AWAY,PTS_OT2_AWAY,PTS_OT3_AWAY,PTS_OT4_AWAY,PTS_OT5_AWAY,PTS_OT6_AWAY,PTS_OT7_AWAY,PTS_OT8_AWAY,PTS_OT9_AWAY,PTS_OT10_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
CHI,DAL,42,89,0.472,10,27,0.37,14,20,0.7,11,34,45,24,10,2,13,18,8,35,84,0.417,13,29,0.448,17,21,0.81,13,33,46,21,6,4,17,15,-8,46,17,11,8,1,1,0,13,8,15,32,10,5,14,1,1,0,17,7,27,21017,24,23,31,30,0,0,0,0,0,0,0,0,0,0,32,17,36,15,0,0,0,0,0,0,0,0,0,0,2,0,1
PHX,OKC,46,96,0.479,11,25,0.44,13,18,0.722,13,31,44,26,5,12,15,25,-8,46,96,0.479,11,34,0.324,21,29,0.724,16,32,48,22,5,11,11,20,8,58,25,15,13,3,5,2,15,12,13,58,16,18,8,4,6,0,11,9,7,18055,37,30,32,17,0,0,0,0,0,0,0,0,0,0,32,28,37,27,0,0,0,0,0,0,0,0,0,0,1,2,0
LAC,NYK,50,89,0.562,9,25,0.36,19,24,0.792,14,37,51,34,14,6,11,17,23,41,89,0.461,11,25,0.44,12,16,0.75,10,23,33,24,4,4,17,22,-23,66,22,24,30,4,5,0,11,7,13,46,11,13,3,4,5,0,17,5,25,17190,32,25,35,36,0,0,0,0,0,0,0,0,0,0,25,35,18,27,0,0,0,0,0,0,0,0,0,0,1,1,1
ORL,DET,44,86,0.512,13,36,0.361,14,19,0.737,7,38,45,34,8,3,17,23,9,40,92,0.435,12,29,0.414,14,24,0.583,13,30,43,22,10,1,14,17,-9,48,8,13,9,6,4,1,17,8,24,40,19,22,9,6,4,0,14,13,21,17223,31,22,29,22,11,0,0,0,0,0,0,0,0,0,29,23,30,22,2,0,0,0,0,0,0,0,0,0,2,1,1
UTA,MIN,40,78,0.513,9,29,0.31,27,35,0.771,11,34,45,21,7,5,19,21,8,38,74,0.514,9,17,0.529,23,31,0.742,2,25,27,14,9,0,13,23,-8,56,19,13,12,12,5,1,19,10,25,50,0,17,3,12,5,1,13,8,20,18306,23,33,29,31,0,0,0,0,0,0,0,0,0,0,24,21,32,31,0,0,0,0,0,0,0,0,0,0,2,2,1
MIL,IND,31,81,0.383,9,25,0.36,25,32,0.781,14,29,43,15,9,13,15,24,-7,37,83,0.446,6,16,0.375,23,30,0.767,13,35,48,19,12,4,16,23,7,32,17,12,5,10,9,0,15,9,21,42,13,17,17,10,9,2,16,10,15,17217,21,25,21,29,0,0,0,0,0,0,0,0,0,0,18,27,33,25,0,0,0,0,0,0,0,0,0,0,1,3,0
ATL,GSW,38,86,0.442,15,35,0.429,18,20,0.9,3,32,35,21,10,2,22,21,-5,42,79,0.532,11,31,0.355,19,22,0.864,2,33,35,33,12,5,18,20,5,34,5,14,6,5,3,3,22,14,27,36,9,22,15,5,3,0,18,6,30,16728,31,19,34,25,0,0,0,0,0,0,0,0,0,0,33,29,28,24,0,0,0,0,0,0,0,0,0,0,0,2,0
WAS,TOR,36,79,0.456,9,24,0.375,14,21,0.667,15,32,47,24,2,5,18,25,-7,36,78,0.462,10,33,0.303,20,32,0.625,8,26,34,19,9,5,7,22,7,28,18,5,14,5,7,1,18,9,27,44,13,7,10,5,7,0,7,14,5,18631,27,20,27,21,0,0,0,0,0,0,0,0,0,0,19,32,26,25,0,0,0,0,0,0,0,0,0,0,2,2,0
MEM,DEN,40,91,0.44,10,27,0.37,12,15,0.8,17,23,40,26,14,3,20,23,-6,40,73,0.548,6,22,0.273,22,26,0.846,6,31,37,18,17,3,24,22,6,44,20,18,4,2,1,0,20,5,29,48,14,12,16,2,1,2,24,9,31,16421,29,25,26,22,0,0,0,0,0,0,0,0,0,0,35,28,28,17,0,0,0,0,0,0,0,0,0,0,1,3,0
SAS,LAL,44,98,0.449,7,30,0.233,17,20,0.85,12,38,50,28,10,5,16,19,-4,40,92,0.435,15,34,0.441,21,27,0.778,10,36,46,26,10,4,15,21,4,60,16,8,17,3,4,0,16,10,18,34,16,15,5,3,4,0,15,9,12,18557,30,30,31,21,0,0,0,0,0,0,0,0,0,0,23,30,27,36,0,0,0,0,0,0,0,0,0,0,0,3,0
