TEAM_ABBREVIATION_HOME,TEAM_ABBREVIATION_AWAY,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
MIL,IND,47,0.573,0.444,29,32,38,0.469,0.435,22,18,5,3,1,1
MIN,DEN,35,0.398,0.409,29,20,39,0.481,0.273,37,15,14,2,2,0
LAL,GSW,45,0.474,0.267,35,26,39,0.453,0.156,31,22,0,1,3,1
CHI,NYK,37,0.44,0.348,27,15,46,0.517,0.429,29,6,16,0,3,0
BKN,CHA,35,0.402,0.25,39,20,36,0.419,0.333,42,13,7,1,3,0
UTA,SAS,30,0.375,0.423,33,15,37,0.446,0.3,40,8,19,2,2,0
DAL,POR,34,0.41,0.357,37,18,36,0.45,0.387,35,7,16,2,2,0
WAS,ATL,31,0.388,0.25,35,13,32,0.386,0.2,37,16,1,3,1,1
TOR,MIA,37,0.44,0.24,37,14,34,0.386,0.321,31,16,12,3,1,1
MEM,LAC,31,0.369,0.346,35,26,32,0.376,0.296,36,3,21,1,3,0
NOP,PHX,43,0.457,0.333,37,28,40,0.43,0.333,47,7,9,3,1,0
PHI,CLE,40,0.46,0.368,40,21,37,0.407,0.368,38,5,18,0,3,0
SAS,LAC,30,0.405,0.4,33,19,47,0.516,0.391,34,8,28,1,3,0
ORL,WAS,31,0.397,0.321,33,21,34,0.395,0.353,35,6,12,2,2,1
DET,DEN,40,0.476,0.35,38,22,31,0.33,0.28,32,25,0,2,0,1
MIL,SAC,41,0.5,0.424,36,28,33,0.393,0.357,23,31,0,2,0,1
IND,CHI,46,0.535,0.462,28,27,34,0.43,0.333,27,27,0,2,2,1
ATL,HOU,45,0.529,0.4,31,29,37,0.435,0.333,31,21,4,2,0,1
OKC,MIN,45,0.523,0.438,30,24,33,0.393,0.211,24,26,1,3,1,1
LAL,PHX,41,0.456,0.435,38,22,40,0.44,0.3,29,16,1,2,2,1
NYK,UTA,42,0.506,0.4,29,18,38,0.507,0.32,27,13,9,0,2,0
BOS,DEN,41,0.456,0.32,28,31,44,0.524,0.478,38,2,25,0,2,0
DAL,MIL,33,0.375,0.237,36,14,30,0.366,0.207,42,11,13,2,0,1
TOR,SAC,30,0.357,0.233,30,22,34,0.436,0.313,34,11,7,0,2,0
MEM,POR,31,0.383,0.231,32,15,32,0.451,0.424,32,10,9,1,2,0
PHI,UTA,31,0.403,0.333,33,16,43,0.506,0.579,35,3,28,0,2,0
GSW,NOP,45,0.5,0.457,28,35,39,0.488,0.333,32,21,5,4,0,1
CHI,ORL,42,0.472,0.158,41,26,33,0.388,0.3,33,38,4,3,1,1
LAC,DET,41,0.539,0.52,44,28,30,0.366,0.333,28,43,2,1,1,1
CHA,IND,41,0.488,0.375,40,30,40,0.426,0.273,40,28,3,2,2,1
WAS,HOU,39,0.415,0.37,29,20,41,0.519,0.459,31,11,11,0,2,0
OKC,MIA,37,0.435,0.321,37,24,31,0.369,0.235,29,24,2,2,0,1
LAL,DAL,38,0.487,0.385,29,20,43,0.524,0.435,29,10,12,0,4,0
BKN,MIN,42,0.553,0.364,38,20,39,0.424,0.429,26,9,2,1,1,1
CLE,ATL,37,0.374,0.262,26,21,41,0.506,0.379,39,5,18,1,3,0
POR,PHX,45,0.556,0.452,28,22,43,0.5,0.333,26,18,0,3,1,1
SAC,NOP,39,0.481,0.32,34,24,38,0.452,0.238,33,12,0,2,1,1
MEM,DEN,44,0.512,0.292,24,29,35,0.5,0.417,33,8,7,3,0,1
GSW,DAL,43,0.581,0.515,34,33,34,0.395,0.214,29,33,0,3,0,1
SAS,HOU,33,0.393,0.304,29,22,37,0.474,0.333,37,2,13,3,1,0
NYK,BKN,44,0.478,0.333,41,25,33,0.418,0.333,33,20,14,2,2,1
PHX,DET,38,0.452,0.364,39,20,32,0.36,0.409,32,9,11,1,1,1
LAC,POR,38,0.437,0.344,41,24,31,0.352,0.2,36,48,0,3,0,1
ORL,MIN,38,0.447,0.333,27,20,45,0.517,0.565,35,0,30,0,2,0
IND,PHI,49,0.544,0.474,36,25,46,0.484,0.389,33,8,10,3,1,1
ATL,CHI,42,0.506,0.45,35,24,41,0.451,0.333,23,17,5,3,1,1
WAS,BOS,46,0.5,0.476,35,29,35,0.432,0.323,24,27,0,2,2,1
CHA,UTA,38,0.463,0.308,32,24,38,0.463,0.235,36,10,10,1,1,1
OKC,TOR,31,0.419,0.353,28,18,43,0.518,0.423,28,13,14,1,1,0
MIA,CHI,36,0.409,0.448,32,22,37,0.416,0.375,36,8,6,1,2,0
MIL,NOP,40,0.44,0.333,37,23,39,0.438,0.36,36,5,15,1,1,0
DEN,GSW,38,0.404,0.361,27,26,46,0.541,0.467,35,3,31,1,2,0
SAC,LAL,34,0.4,0.381,32,18,38,0.514,0.333,38,19,10,2,2,0
PHI,IND,36,0.419,0.344,41,24,39,0.443,0.263,36,7,14,1,3,1
SAS,DET,36,0.444,0.45,35,24,32,0.421,0.2,33,13,6,2,0,1
BOS,NYK,35,0.389,0.407,34,23,33,0.351,0.261,36,30,0,3,1,1
ORL,UTA,26,0.333,0.4,35,13,33,0.407,0.25,40,7,13,0,2,0
POR,SAC,45,0.523,0.394,29,29,43,0.489,0.286,35,12,7,2,1,1
CHA,TOR,38,0.409,0.415,39,22,43,0.478,0.273,37,10,16,2,2,0
WAS,CLE,38,0.437,0.2,36,16,36,0.419,0.424,34,12,12,1,2,0
OKC,LAC,38,0.432,0.571,36,21,39,0.453,0.407,34,8,11,2,2,0
CHI,WAS,39,0.402,0.333,37,21,38,0.418,0.308,36,15,12,1,3,1
PHX,BKN,40,0.374,0.242,38,23,40,0.476,0.432,49,5,20,0,2,0
HOU,SAS,34,0.382,0.319,30,22,41,0.539,0.278,33,5,16,1,3,0
MIA,UTA,38,0.469,0.294,35,21,40,0.494,0.3,39,2,21,1,1,0
MIL,MEM,36,0.529,0.389,30,20,35,0.449,0.2,29,14,1,1,1,1
IND,BOS,36,0.419,0.222,29,17,35,0.438,0.32,32,11,8,0,3,0
ATL,PHI,48,0.505,0.406,37,31,36,0.434,0.379,29,21,6,4,0,1
DEN,DET,36,0.429,0.36,28,15,46,0.511,0.222,26,0,17,0,2,0
MIN,LAC,40,0.449,0.364,24,26,40,0.526,0.458,33,2,19,2,1,0
TOR,NYK,39,0.47,0.318,33,18,44,0.454,0.304,32,11,5,4,0,1
NOP,LAL,39,0.433,0.3,30,20,52,0.553,0.533,37,6,29,2,2,0
GSW,PHX,45,0.517,0.485,35,32,46,0.511,0.333,30,14,9,4,0,1
CLE,CHA,39,0.424,0.368,41,25,36,0.379,0.379,35,11,5,4,0,1
POR,DEN,39,0.394,0.276,30,21,36,0.396,0.379,43,16,17,3,1,1
MIN,LAL,42,0.525,0.481,35,28,33,0.465,0.333,34,26,3,2,2,1
OKC,ORL,47,0.511,0.28,30,22,46,0.535,0.458,30,4,21,1,1,0
SAS,MIA,33,0.402,0.533,38,24,37,0.44,0.267,31,18,4,2,0,1
NYK,DAL,34,0.436,0.36,37,18,32,0.381,0.185,29,23,10,1,1,1
LAC,BKN,48,0.533,0.56,34,32,34,0.442,0.303,28,40,2,1,1,1
HOU,PHI,44,0.484,0.425,39,20,34,0.378,0.227,29,29,5,2,0,1
DET,OKC,43,0.467,0.313,43,25,33,0.375,0.185,38,19,3,1,1,1
UTA,MEM,35,0.479,0.286,23,17,36,0.474,0.381,30,2,13,1,3,0
IND,ORL,35,0.389,0.32,42,22,27,0.321,0.2,43,21,6,4,0,1
NOP,BOS,35,0.443,0.286,38,16,38,0.4,0.293,33,14,7,1,1,1
LAL,BKN,41,0.446,0.321,41,24,45,0.455,0.293,38,13,5,1,1,1
CLE,TOR,44,0.53,0.394,36,26,46,0.479,0.448,28,12,7,3,1,1
MIA,ATL,36,0.404,0.304,31,13,37,0.463,0.353,29,8,10,2,2,0
POR,CHI,34,0.358,0.265,34,17,41,0.418,0.35,48,0,26,1,1,0
MIN,CHA,38,0.427,0.429,29,25,43,0.538,0.458,33,14,10,1,1,0
PHI,WAS,42,0.545,0.357,36,30,38,0.418,0.348,29,24,2,2,1,1
NYK,DET,42,0.452,0.36,33,24,42,0.494,0.348,32,12,5,2,2,1
BOS,DAL,33,0.434,0.333,40,18,34,0.41,0.348,27,12,4,2,0,1
LAC,MEM,37,0.457,0.36,27,15,40,0.488,0.577,34,5,16,3,1,0
ORL,NOP,34,0.386,0.37,37,17,30,0.366,0.333,39,15,3,1,1,1
IND,CLE,43,0.5,0.357,35,22,35,0.407,0.367,40,13,3,1,3,1
ATL,MIL,35,0.486,0.313,36,29,39,0.398,0.25,32,24,6,3,1,1
SAC,SAS,36,0.474,0.45,36,21,43,0.489,0.367,28,3,18,0,4,0
DEN,PHX,45,0.484,0.471,35,23,39,0.494,0.4,28,20,0,4,0,1
TOR,GSW,37,0.451,0.4,33,16,44,0.506,0.361,28,10,19,0,2,0
OKC,HOU,40,0.476,0.48,39,25,40,0.435,0.35,35,13,11,1,3,1
HOU,POR,46,0.484,0.438,37,26,41,0.456,0.357,31,25,6,2,1,1
MIA,MIL,39,0.402,0.233,42,19,28,0.329,0.304,36,23,14,3,1,1
UTA,CHI,30,0.385,0.2,38,11,33,0.367,0.294,32,5,17,0,2,0
MIN,PHI,43,0.512,0.24,34,18,31,0.373,0.281,27,33,1,1,1,1
WAS,NYK,44,0.543,0.6,30,26,41,0.477,0.414,26,27,6,4,0,1
LAL,SAS,39,0.448,0.48,30,24,44,0.564,0.417,31,5,17,1,3,0
BOS,GSW,31,0.373,0.344,36,19,44,0.489,0.321,41,3,30,1,1,0
CLE,DET,40,0.482,0.44,47,26,29,0.312,0.316,33,33,6,2,2,1
IND,PHX,36,0.474,0.143,25,18,46,0.474,0.346,28,1,24,1,1,0
DAL,MEM,21,0.288,0.2,35,9,31,0.403,0.36,41,5,22,2,2,0
SAC,LAC,38,0.442,0.385,28,21,40,0.526,0.448,32,4,26,1,3,0
DEN,TOR,39,0.47,0.16,50,29,43,0.457,0.348,38,8,12,0,2,0
CHA,ATL,37,0.411,0.345,36,25,39,0.464,0.25,41,8,10,3,1,1
OKC,BKN,49,0.551,0.269,36,23,35,0.422,0.379,23,19,10,2,0,1
NOP,POR,45,0.549,0.375,36,31,33,0.375,0.353,35,20,2,3,1,1
PHI,PHX,45,0.523,0.486,38,33,39,0.424,0.286,32,29,0,1,1,1
LAC,CHI,36,0.468,0.407,27,20,33,0.429,0.3,26,7,19,2,0,1
ORL,DAL,34,0.436,0.381,40,17,26,0.338,0.464,29,9,5,1,1,1
HOU,UTA,42,0.447,0.375,29,28,39,0.513,0.444,38,16,3,1,2,1
DET,BOS,37,0.43,0.35,39,22,33,0.402,0.387,37,7,9,1,3,0
MIL,GSW,46,0.517,0.5,31,27,42,0.442,0.368,27,9,14,0,2,0
WAS,MIA,42,0.472,0.407,27,22,43,0.506,0.481,30,7,17,0,4,0
MEM,MIN,29,0.382,0.111,33,15,25,0.391,0.318,29,25,3,3,1,1
NOP,CHA,43,0.439,0.389,43,27,40,0.412,0.349,44,5,14,2,0,1
LAL,CHI,41,0.441,0.419,27,26,45,0.517,0.364,40,10,15,1,1,0
NYK,ATL,42,0.477,0.37,39,21,34,0.4,0.286,34,15,3,1,3,1
BKN,POR,37,0.398,0.286,25,22,49,0.576,0.417,42,3,23,0,2,0
SAC,TOR,36,0.444,0.407,33,26,34,0.4,0.375,32,10,10,2,0,1
DEN,UTA,42,0.488,0.364,37,31,33,0.388,0.259,35,20,2,2,2,1
OKC,IND,44,0.436,0.278,34,28,40,0.449,0.5,36,4,15,0,2,0
PHI,MIA,37,0.474,0.423,33,21,34,0.386,0.226,29,10,8,2,2,1
SAS,DAL,35,0.467,0.4,31,24,35,0.473,0.296,30,5,8,3,1,1
LAC,TOR,39,0.527,0.4,36,23,40,0.5,0.421,28,17,4,1,1,1
DET,HOU,36,0.414,0.412,27,19,35,0.449,0.323,34,12,11,1,1,0
MIL,ORL,35,0.407,0.276,30,25,32,0.416,0.28,44,9,14,2,1,1
IND,GSW,33,0.32,0.261,34,13,40,0.444,0.361,48,2,37,0,2,0
MIN,BOS,36,0.419,0.167,35,23,38,0.452,0.316,33,15,8,0,2,0
WAS,PHX,37,0.407,0.357,31,25,39,0.429,0.407,39,7,11,2,0,1
CHA,MEM,30,0.411,0.29,31,20,40,0.476,0.462,34,0,26,1,1,0
LAL,OKC,42,0.506,0.519,29,25,45,0.489,0.407,29,14,4,1,2,1
NYK,POR,45,0.469,0.31,33,26,38,0.442,0.273,33,7,9,1,1,1
ATL,NOP,39,0.459,0.345,34,22,45,0.523,0.44,35,3,35,1,1,0
DEN,CHI,43,0.43,0.455,38,26,43,0.453,0.333,38,10,14,2,0,1
PHI,MEM,35,0.376,0.333,48,24,38,0.384,0.345,37,11,6,0,2,0
GSW,LAL,53,0.616,0.528,42,47,40,0.43,0.4,30,43,2,3,1,1
BKN,BOS,34,0.395,0.323,36,18,45,0.459,0.395,39,0,20,0,4,0
ORL,PHX,33,0.363,0.28,33,17,33,0.452,0.409,38,4,12,1,1,0
CLE,POR,48,0.533,0.583,32,30,47,0.522,0.448,29,23,0,1,1,1
HOU,TOR,38,0.487,0.333,28,29,43,0.489,0.522,23,2,20,1,1,0
DET,MIA,40,0.494,0.316,39,22,27,0.36,0.269,30,28,1,2,2,1
UTA,DEN,39,0.494,0.308,47,19,28,0.318,0.333,35,28,0,2,2,1
IND,ATL,34,0.405,0.259,30,16,36,0.424,0.25,39,3,20,2,1,0
DAL,LAC,38,0.452,0.458,34,23,43,0.506,0.469,37,8,31,2,2,0
SAC,OKC,44,0.468,0.429,35,26,32,0.421,0.28,33,16,2,1,2,1
CHA,SAS,45,0.506,0.55,32,30,44,0.512,0.419,26,5,8,0,2,0
NOP,MIN,45,0.542,0.375,41,27,33,0.384,0.176,33,26,8,3,0,1
PHI,CHI,31,0.397,0.409,40,18,40,0.444,0.286,40,0,28,1,3,0
LAL,GSW,32,0.356,0.227,31,20,43,0.518,0.393,40,5,24,1,3,0
NYK,CHA,45,0.464,0.393,42,26,43,0.462,0.276,36,6,13,2,1,1
PHX,MIN,32,0.405,0.231,36,17,34,0.4,0.318,28,13,13,0,3,0
BOS,SAS,42,0.462,0.353,28,32,38,0.469,0.458,32,14,8,0,2,0
ORL,WAS,35,0.438,0.304,35,18,40,0.455,0.207,30,4,19,2,2,0
CLE,DAL,43,0.506,0.465,38,30,37,0.407,0.229,28,45,2,1,1,1
DET,LAC,47,0.522,0.474,33,26,35,0.479,0.333,27,18,2,1,1,1
UTA,ATL,35,0.438,0.294,46,17,26,0.313,0.32,34,32,1,2,0,1
POR,NOP,47,0.47,0.375,40,30,36,0.474,0.565,32,17,9,1,3,1
MIL,TOR,40,0.506,0.414,31,26,38,0.463,0.438,27,2,10,1,3,0
IND,BKN,48,0.552,0.423,38,25,36,0.456,0.324,29,31,7,3,1,1
SAC,HOU,39,0.488,0.281,33,24,40,0.471,0.42,34,0,29,0,4,0
DEN,OKC,48,0.475,0.353,39,34,48,0.5,0.5,33,13,6,1,3,0
MEM,MIA,29,0.354,0.211,35,14,33,0.388,0.387,34,0,17,1,1,0
GSW,MIN,45,0.556,0.5,33,25,41,0.461,0.286,24,17,6,3,1,1
MIA,MEM,40,0.494,0.355,31,18,37,0.507,0.36,32,9,7,1,1,0
WAS,SAS,42,0.477,0.273,28,21,40,0.533,0.375,32,5,19,0,2,0
CHA,NYK,35,0.438,0.364,42,16,37,0.374,0.375,36,21,2,1,2,1
OKC,DET,42,0.506,0.348,33,23,37,0.451,0.053,26,18,2,1,1,1
PHI,CLE,43,0.467,0.441,37,29,38,0.413,0.3,32,14,11,0,3,0
LAL,ATL,42,0.442,0.4,38,20,39,0.443,0.343,31,20,13,2,0,1
PHX,DEN,36,0.404,0.44,37,11,39,0.438,0.448,39,2,20,0,4,0
BKN,SAC,38,0.437,0.4,33,19,46,0.535,0.565,36,9,22,1,1,0
ORL,MIL,38,0.413,0.25,36,24,41,0.477,0.333,43,6,11,1,2,0
POR,HOU,40,0.482,0.364,27,24,46,0.561,0.472,29,5,16,1,2,0
IND,LAC,40,0.435,0.263,39,26,22,0.314,0.167,34,21,2,2,0,1
DAL,NOP,32,0.416,0.37,35,19,30,0.39,0.25,32,10,6,2,2,1
GSW,ATL,37,0.435,0.343,34,25,36,0.424,0.241,37,8,7,2,0,1
NYK,OKC,36,0.396,0.316,28,20,46,0.5,0.364,36,11,10,0,2,0
MIA,BOS,38,0.475,0.2,34,24,40,0.482,0.407,34,5,19,0,4,0
MIN,UTA,36,0.444,0.368,29,26,40,0.506,0.222,30,7,11,1,3,0
TOR,PHI,42,0.545,0.684,34,22,36,0.419,0.412,26,31,3,3,1,1
WAS,SAC,35,0.412,0.4,38,22,38,0.409,0.143,31,8,5,2,0,1
MEM,CHA,36,0.404,0.241,34,21,36,0.439,0.346,38,6,25,1,1,0
SAS,ORL,28,0.368,0.25,35,19,39,0.453,0.4,31,6,17,1,1,0
BKN,LAC,45,0.433,0.342,46,22,46,0.422,0.325,45,5,18,1,1,1
UTA,HOU,41,0.554,0.536,35,23,37,0.407,0.367,23,23,7,2,1,1
MIL,CLE,46,0.535,0.368,33,27,32,0.427,0.359,28,22,14,1,3,1
CHA,DET,31,0.397,0.333,35,21,45,0.489,0.429,35,4,24,1,3,0
NOP,LAL,38,0.432,0.258,41,24,37,0.425,0.167,38,28,0,2,2,1
CHI,LAL,32,0.352,0.19,32,22,33,0.407,0.25,42,14,6,1,1,0
PHX,ATL,40,0.449,0.476,28,15,45,0.506,0.36,33,14,5,1,1,1
BOS,DET,40,0.44,0.357,24,26,48,0.552,0.45,39,3,11,3,1,0
POR,IND,51,0.543,0.375,26,29,36,0.5,0.429,28,28,3,1,1,1
DAL,SAS,33,0.429,0.333,29,16,33,0.465,0.579,35,13,12,1,3,0
DEN,MIA,38,0.418,0.318,41,28,41,0.441,0.375,37,7,11,1,1,0
MIN,NYK,34,0.442,0.211,29,17,41,0.451,0.406,27,3,17,0,2,0
TOR,MEM,38,0.551,0.5,33,23,36,0.439,0.407,18,15,8,1,1,1
OKC,WAS,46,0.484,0.4,38,28,44,0.449,0.357,37,16,7,1,1,1
GSW,HOU,43,0.413,0.273,41,31,48,0.444,0.318,41,4,10,3,1,0
BKN,MIL,34,0.382,0.3,28,20,36,0.45,0.441,34,4,24,0,4,0
CLE,LAC,28,0.406,0.375,30,12,42,0.472,0.419,33,6,27,0,2,0
UTA,MIA,40,0.548,0.567,26,24,44,0.512,0.421,27,4,14,1,1,0
CHA,DAL,35,0.473,0.278,35,24,32,0.372,0.29,32,11,0,2,0,1
MEM,ORL,33,0.418,0.389,31,18,33,0.446,0.25,35,8,14,1,1,1
PHI,ORL,36,0.379,0.281,31,24,37,0.474,0.5,40,6,29,1,3,0
SAS,WAS,39,0.488,0.4,25,27,41,0.506,0.636,34,10,11,2,0,1
CHI,CLE,47,0.49,0.167,33,31,45,0.542,0.385,27,11,8,4,0,1
NYK,MIN,41,0.477,0.387,32,26,41,0.466,0.357,30,16,1,2,0,1
BOS,SAC,36,0.409,0.393,34,25,33,0.375,0.231,37,13,5,1,1,1
ATL,DET,32,0.364,0.25,26,22,48,0.539,0.586,43,1,37,1,2,0
DEN,HOU,46,0.442,0.29,30,22,45,0.511,0.459,31,0,22,0,4,0
TOR,LAL,45,0.542,0.414,37,25,32,0.344,0.231,27,33,0,2,0,1
NOP,LAC,39,0.459,0.25,30,21,45,0.511,0.417,35,9,20,1,2,0
PHI,BOS,35,0.461,0.455,30,20,38,0.5,0.308,31,11,7,1,3,0
GSW,PHX,49,0.628,0.667,32,37,41,0.451,0.344,22,32,6,4,0,1
POR,MIA,36,0.404,0.375,35,19,38,0.442,0.273,38,8,12,2,0,1
MIL,BKN,40,0.471,0.25,39,25,34,0.374,0.268,36,16,3,4,0,1
UTA,DEN,35,0.449,0.36,33,20,37,0.446,0.542,30,23,3,2,2,1
DAL,CHI,40,0.46,0.419,29,31,32,0.451,0.231,32,25,0,2,0,1
CHA,MIN,44,0.436,0.389,37,30,48,0.453,0.37,37,15,7,1,1,0
TOR,ATL,53,0.576,0.542,36,28,35,0.398,0.25,25,44,5,1,2,1
MEM,LAL,41,0.466,0.333,29,32,35,0.432,0.333,30,6,11,1,2,1
NYK,SAC,39,0.443,0.379,44,20,31,0.32,0.321,33,21,6,2,0,1
LAC,IND,36,0.444,0.333,35,19,39,0.494,0.357,31,15,20,0,2,0
DET,ORL,38,0.442,0.37,34,16,42,0.532,0.304,35,9,13,1,3,0
OKC,NOP,41,0.461,0.214,48,24,36,0.367,0.214,39,15,3,4,0,1
PHI,DEN,35,0.407,0.355,32,20,35,0.461,0.37,35,10,11,1,1,0
GSW,IND,54,0.519,0.378,38,45,35,0.412,0.2,31,40,1,2,0,1
LAL,UTA,39,0.448,0.357,28,15,38,0.475,0.406,28,4,19,0,4,0
CHI,POR,35,0.422,0.304,35,16,45,0.484,0.375,28,6,10,1,1,0
BKN,WAS,40,0.494,0.407,37,25,45,0.489,0.412,27,16,7,0,4,0
HOU,BOS,34,0.447,0.316,39,20,42,0.424,0.344,32,12,8,1,1,1
MIL,SAS,30,0.411,0.25,36,16,40,0.43,0.286,34,15,4,1,1,0
DAL,CHA,37,0.416,0.361,26,23,40,0.506,0.167,44,11,9,0,2,0
ATL,OKC,34,0.442,0.318,29,26,37,0.463,0.323,35,6,15,1,1,0
TOR,CLE,38,0.432,0.406,23,22,40,0.476,0.438,35,6,15,1,3,0
NOP,MEM,39,0.394,0.313,48,21,42,0.404,0.382,48,8,10,2,2,0
MIA,NYK,38,0.427,0.44,30,21,48,0.49,0.28,35,9,15,1,2,0
DET,CHI,40,0.455,0.381,35,24,33,0.44,0.133,36,17,4,2,2,1
UTA,PHX,36,0.493,0.444,29,23,39,0.464,0.333,29,23,0,3,0,1
MIN,SAS,36,0.439,0.35,30,19,39,0.527,0.458,32,10,18,0,4,0
WAS,ORL,44,0.473,0.478,32,20,43,0.518,0.462,35,4,20,2,2,0
MEM,PHI,33,0.384,0.118,41,18,32,0.39,0.341,36,10,4,2,0,1
NYK,CLE,35,0.402,0.355,30,22,39,0.488,0.55,36,0,34,0,4,0
PHX,IND,34,0.4,0.273,31,17,35,0.449,0.304,37,7,15,1,1,0
BKN,DEN,41,0.482,0.346,32,18,42,0.4,0.297,32,29,0,1,1,1
LAC,GSW,36,0.391,0.308,30,15,42,0.472,0.226,34,2,27,0,4,0
ORL,BOS,30,0.37,0.423,29,20,43,0.512,0.269,38,8,30,0,3,0
HOU,LAL,51,0.543,0.417,37,35,34,0.391,0.25,25,42,2,2,1,1
MIL,POR,40,0.519,0.417,36,19,37,0.435,0.425,34,12,9,2,0,1
DAL,SAC,32,0.41,0.333,31,17,47,0.56,0.455,34,3,33,1,2,0
ATL,MIA,43,0.489,0.211,33,27,34,0.425,0.407,25,15,1,2,2,1
CHA,DET,30,0.341,0.286,46,13,34,0.382,0.148,50,10,4,1,3,1
CHI,SAS,35,0.438,0.235,40,24,39,0.402,0.321,32,18,0,1,1,1
UTA,GSW,37,0.416,0.263,34,20,39,0.488,0.414,38,4,25,1,2,0
TOR,MIN,43,0.494,0.444,26,25,45,0.511,0.321,27,14,12,1,1,1
WAS,DEN,35,0.449,0.316,27,21,31,0.408,0.219,31,7,14,2,0,1
MEM,POR,31,0.356,0.3,43,13,25,0.305,0.25,39,4,13,1,2,1
NOP,PHI,33,0.393,0.28,36,18,39,0.429,0.3,35,9,15,1,1,0
LAL,PHX,40,0.46,0.346,39,18,45,0.474,0.433,35,5,18,2,2,0
BOS,TOR,31,0.373,0.405,38,24,34,0.415,0.45,42,14,11,1,3,0
CLE,MIA,46,0.554,0.375,36,23,31,0.344,0.222,23,30,2,1,3,1
MIL,ATL,44,0.468,0.429,34,26,40,0.476,0.353,37,20,6,1,3,0
DAL,IND,39,0.488,0.469,28,23,32,0.464,0.56,34,15,8,1,1,1
SAC,NYK,35,0.402,0.25,33,24,36,0.429,0.345,42,9,7,0,2,0
CHA,ORL,41,0.482,0.409,46,23,34,0.374,0.265,31,29,2,4,0,1
MIN,DET,37,0.474,0.188,30,19,42,0.5,0.483,31,8,35,0,2,0
OKC,HOU,34,0.42,0.25,37,18,36,0.391,0.262,36,3,13,1,3,0
SAS,BKN,50,0.532,0.538,41,38,36,0.414,0.259,36,38,2,2,0,1
CHI,MIA,38,0.452,0.125,35,17,42,0.462,0.25,29,13,4,2,1,1
LAC,NOP,54,0.574,0.472,31,34,40,0.482,0.421,26,32,5,2,1,1
ORL,DEN,43,0.489,0.407,26,27,47,0.566,0.421,35,4,11,0,2,0
CLE,CHA,42,0.575,0.419,33,25,39,0.453,0.37,27,19,2,4,0,1
HOU,DAL,37,0.5,0.514,38,31,32,0.405,0.324,26,22,4,4,0,1
UTA,SAC,37,0.481,0.448,41,23,34,0.378,0.346,22,20,11,3,1,1
IND,POR,40,0.482,0.517,29,24,40,0.488,0.432,32,9,20,1,1,1
WAS,MIL,40,0.455,0.381,28,29,40,0.506,0.52,33,6,9,3,1,1
MEM,GSW,38,0.437,0.308,36,23,34,0.442,0.333,32,30,1,2,2,1
LAL,NYK,42,0.477,0.357,32,26,41,0.488,0.455,36,2,11,1,1,0
PHX,NOP,44,0.458,0.341,43,21,38,0.392,0.4,35,15,6,1,3,0
DET,PHI,32,0.39,0.263,24,15,38,0.559,0.412,37,0,25,2,1,0
MIN,GSW,36,0.444,0.375,35,17,38,0.458,0.406,31,10,12,1,3,0
OKC,BOS,41,0.494,0.143,34,17,40,0.444,0.344,28,4,13,2,0,1
LAC,POR,42,0.472,0.478,25,26,44,0.506,0.476,29,11,7,3,0,1
MIA,WAS,45,0.511,0.346,36,25,39,0.464,0.217,27,11,8,4,0,1
HOU,BKN,42,0.462,0.395,28,23,42,0.525,0.35,35,15,5,2,0,1
IND,CHA,43,0.489,0.472,37,24,28,0.333,0.385,37,16,4,2,2,1
DAL,DEN,45,0.584,0.462,26,22,35,0.422,0.28,23,28,0,1,3,1
SAC,LAL,47,0.56,0.435,34,23,33,0.393,0.435,22,24,9,2,2,1
TOR,MIL,42,0.519,0.56,32,26,42,0.472,0.167,25,26,4,3,1,1
CHI,MIN,38,0.437,0.267,29,20,38,0.442,0.286,34,21,8,0,2,0
PHX,NYK,38,0.409,0.3,45,13,38,0.392,0.35,32,14,6,2,0,1
CLE,MEM,37,0.457,0.387,36,21,35,0.407,0.182,32,22,2,1,1,1
POR,OKC,43,0.538,0.348,29,23,33,0.379,0.296,27,26,9,3,1,1
ATL,ORL,45,0.506,0.393,32,29,51,0.586,0.441,23,9,16,2,2,0
NOP,GSW,39,0.476,0.4,39,26,42,0.442,0.412,36,9,8,0,4,0
PHI,TOR,43,0.5,0.31,29,29,41,0.471,0.345,24,5,19,1,3,0
SAS,BOS,44,0.55,0.364,33,33,37,0.44,0.323,27,15,4,2,0,1
BKN,LAL,33,0.384,0.314,42,19,35,0.385,0.222,31,10,6,1,1,1
ORL,LAC,42,0.472,0.424,27,29,37,0.5,0.52,35,5,9,0,2,0
HOU,SAC,50,0.588,0.524,39,40,39,0.424,0.344,28,39,3,4,0,1
MIA,IND,37,0.451,0.28,44,23,33,0.371,0.333,32,7,7,2,1,1
UTA,OKC,42,0.583,0.565,34,22,30,0.366,0.316,25,22,0,1,3,1
DAL,DET,32,0.41,0.32,24,19,36,0.507,0.294,40,12,12,0,2,0
WAS,CHA,45,0.517,0.278,29,27,38,0.514,0.424,28,12,10,3,1,1
MEM,CLE,35,0.432,0.522,41,22,28,0.373,0.36,32,25,0,1,1,1
