TEAM_ABBREVIATION_HOME,TEAM_ABBREVIATION_AWAY,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
CLE,PHI,45,0.511,0.385,34,29,41,0.519,0.435,31,17,2,4,0,1
IND,MIA,36,0.45,0.333,34,21,36,0.444,0.3,33,7,13,2,2,1
SAC,HOU,40,0.43,0.321,29,26,40,0.488,0.417,35,2,20,1,3,0
NOP,ATL,42,0.5,0.333,26,30,41,0.532,0.429,35,6,17,0,2,0
PHI,ORL,36,0.45,0.333,28,24,39,0.47,0.462,31,9,15,1,3,0
SAS,CHA,45,0.556,0.429,36,35,34,0.466,0.316,27,25,6,1,1,1
CHI,MIN,33,0.355,0.344,40,20,39,0.406,0.438,44,6,9,0,2,0
LAC,HOU,42,0.477,0.182,30,29,38,0.442,0.233,36,10,11,2,2,0
UTA,MEM,31,0.419,0.444,40,18,30,0.33,0.316,31,21,8,2,1,1
MIL,BKN,37,0.451,0.4,31,27,34,0.415,0.333,35,17,8,3,0,1
DAL,NOP,40,0.476,0.375,36,20,39,0.453,0.321,35,16,8,2,2,1
ATL,WAS,43,0.467,0.394,29,37,38,0.487,0.333,33,16,7,2,2,1
SAC,GSW,38,0.437,0.316,32,26,38,0.413,0.205,31,5,14,0,4,0
NYK,LAL,33,0.393,0.333,42,22,36,0.383,0.333,34,8,8,2,0,1
CLE,IND,38,0.458,0.333,37,25,39,0.433,0.333,35,11,4,3,1,1
MIA,TOR,35,0.422,0.4,35,18,28,0.394,0.158,31,22,7,1,3,1
POR,DET,41,0.539,0.36,33,24,47,0.49,0.367,28,18,19,0,2,0
OKC,PHX,49,0.521,0.2,35,26,38,0.452,0.438,26,24,3,3,0,1
PHI,CHI,35,0.35,0.2,37,19,41,0.427,0.4,45,3,26,0,4,0
GSW,DET,43,0.473,0.571,28,29,40,0.471,0.316,29,18,2,1,1,1
LAC,MEM,28,0.412,0.263,32,14,35,0.438,0.182,30,8,6,2,1,1
IND,ORL,34,0.442,0.44,36,25,31,0.397,0.303,37,13,5,3,1,1
ATL,MIN,44,0.512,0.419,23,30,46,0.575,0.467,32,1,34,0,2,0
SAC,SAS,34,0.405,0.368,31,25,46,0.529,0.261,38,5,22,0,3,0
DEN,POR,40,0.519,0.368,39,20,36,0.396,0.345,29,7,6,1,3,1
CLE,UTA,37,0.5,0.458,24,24,40,0.488,0.455,24,12,9,1,1,1
MIA,LAL,38,0.452,0.25,32,23,34,0.442,0.5,31,18,6,1,1,1
MIL,BOS,30,0.411,0.353,32,14,38,0.442,0.233,31,12,18,1,3,0
MIN,CHA,36,0.45,0.474,38,25,38,0.487,0.308,30,11,13,0,2,0
WAS,OKC,38,0.392,0.208,29,17,44,0.512,0.652,43,0,29,0,2,0
TOR,NYK,37,0.44,0.235,35,25,42,0.442,0.478,31,5,13,3,1,0
NOP,DAL,46,0.5,0.424,39,25,39,0.443,0.25,36,28,0,2,2,1
PHI,TOR,40,0.46,0.414,26,28,43,0.483,0.278,39,7,21,0,4,0
BOS,IND,32,0.416,0.167,28,18,38,0.481,0.353,31,7,11,1,3,0
ORL,LAL,40,0.4,0.464,31,22,39,0.494,0.318,36,5,7,1,1,1
HOU,BKN,42,0.429,0.235,32,25,42,0.429,0.471,40,11,8,0,2,0
POR,SAS,39,0.443,0.409,26,26,46,0.561,0.467,34,8,12,0,3,0
DAL,LAC,42,0.553,0.458,36,23,37,0.43,0.444,28,14,10,1,3,1
ATL,NOP,42,0.488,0.385,36,26,37,0.446,0.483,32,14,12,2,0,1
SAC,DET,37,0.5,0.563,39,20,34,0.382,0.281,31,19,3,1,1,1
DEN,MIL,39,0.494,0.333,22,27,42,0.532,0.455,25,13,13,1,1,1
CHA,NYK,35,0.417,0.348,26,21,42,0.488,0.19,41,3,12,3,1,1
MEM,GSW,24,0.343,0.2,31,15,36,0.48,0.407,29,1,21,0,4,0
PHX,LAC,44,0.53,0.467,37,22,40,0.444,0.346,25,25,3,2,2,1
MIA,UTA,36,0.468,0.308,39,14,34,0.382,0.235,31,12,4,1,1,1
MIN,GSW,43,0.494,0.333,32,21,48,0.539,0.474,27,0,21,1,2,0
CHI,CHA,37,0.44,0.25,47,27,36,0.379,0.455,36,8,5,1,3,1
NYK,CLE,29,0.367,0.333,36,16,33,0.423,0.214,37,10,9,0,4,0
BOS,ATL,42,0.408,0.333,33,27,36,0.474,0.3,30,15,5,1,3,1
ORL,UTA,32,0.421,0.37,35,20,34,0.391,0.32,29,23,0,2,0,1
IND,MIN,41,0.477,0.4,28,23,42,0.506,0.35,31,27,7,2,0,1
DAL,LAL,30,0.366,0.259,41,19,29,0.33,0.333,42,10,10,3,0,1
SAC,BKN,40,0.426,0.407,35,25,42,0.472,0.381,35,9,15,1,1,1
DEN,HOU,37,0.457,0.45,34,25,33,0.429,0.31,32,13,1,3,0,1
TOR,NOP,34,0.442,0.429,35,19,30,0.366,0.304,28,24,9,2,0,1
OKC,PHI,39,0.402,0.32,39,20,30,0.349,0.294,31,22,6,2,0,1
MEM,POR,36,0.419,0.375,21,22,33,0.478,0.364,33,14,6,2,2,1
GSW,BKN,43,0.443,0.353,39,31,41,0.418,0.111,39,10,17,2,0,1
SAS,PHI,33,0.388,0.313,42,23,33,0.402,0.364,35,19,2,2,0,1
PHX,DEN,37,0.44,0.458,47,19,34,0.347,0.171,33,37,5,2,2,1
LAC,DET,37,0.468,0.368,31,23,33,0.446,0.259,31,5,17,2,0,1
HOU,DAL,32,0.381,0.265,31,22,43,0.483,0.286,37,0,26,2,2,0
MIL,CLE,43,0.422,0.375,36,20,37,0.407,0.368,40,11,8,1,3,1
WAS,ORL,39,0.47,0.414,42,29,38,0.437,0.222,39,9,10,4,0,1
LAL,DET,31,0.413,0.316,39,24,35,0.365,0.259,34,12,3,1,1,1
NYK,NOP,38,0.432,0.222,31,18,32,0.451,0.286,32,10,8,1,1,1
ATL,UTA,37,0.487,0.364,25,26,39,0.513,0.333,30,6,8,1,1,0
SAC,TOR,39,0.513,0.4,33,23,38,0.437,0.484,29,7,10,2,0,1
MIN,MEM,41,0.5,0.313,24,20,40,0.563,0.529,30,5,10,2,2,0
CHA,POR,41,0.494,0.29,30,29,35,0.393,0.238,30,29,3,1,1,1
OKC,BOS,28,0.364,0.24,24,18,39,0.476,0.391,35,11,15,1,1,0
PHI,DAL,34,0.447,0.227,38,16,30,0.395,0.292,33,2,19,0,2,0
SAS,POR,38,0.427,0.304,35,29,31,0.413,0.368,35,14,4,3,0,1
CHI,IND,35,0.407,0.4,38,26,35,0.402,0.429,39,15,0,3,1,1
PHX,LAL,45,0.484,0.367,32,23,37,0.481,0.45,30,21,5,3,1,1
HOU,BOS,36,0.424,0.344,32,23,44,0.473,0.306,33,15,29,1,1,0
MEM,OKC,37,0.44,0.706,22,23,41,0.506,0.417,32,11,6,1,2,1
GSW,TOR,43,0.538,0.379,25,31,37,0.468,0.333,28,18,4,2,0,1
NYK,CHA,36,0.404,0.5,35,22,36,0.439,0.25,34,13,8,1,3,1
BKN,ATL,37,0.44,0.45,35,22,33,0.434,0.414,36,6,10,1,2,1
MIA,MIN,36,0.456,0.208,41,20,36,0.371,0.19,39,10,13,1,1,0
DET,CLE,36,0.429,0.333,37,20,38,0.475,0.333,37,8,13,3,1,1
WAS,MIL,37,0.529,0.545,36,25,31,0.431,0.476,28,34,5,3,1,1
NOP,DEN,41,0.494,0.304,25,25,45,0.529,0.5,32,2,18,2,1,0
PHI,IND,35,0.461,0.2,36,14,42,0.457,0.444,32,3,33,0,3,0
SAS,DEN,42,0.488,0.5,40,33,38,0.388,0.333,33,17,0,3,1,1
PHX,CHI,37,0.407,0.296,29,16,41,0.494,0.474,36,1,17,1,1,0
BOS,DAL,38,0.413,0.308,29,22,37,0.514,0.35,32,18,7,0,2,0
ORL,MIN,41,0.373,0.429,34,20,36,0.424,0.222,46,7,14,2,0,1
HOU,POR,32,0.348,0.318,38,22,35,0.398,0.3,38,5,17,2,2,1
UTA,TOR,35,0.486,0.318,34,15,34,0.425,0.25,28,10,7,1,1,1
ATL,SAC,38,0.427,0.3,33,23,38,0.442,0.313,39,11,5,1,1,1
CHA,BKN,39,0.488,0.44,40,27,44,0.484,0.333,32,9,10,4,0,1
OKC,NOP,38,0.447,0.412,34,19,43,0.453,0.25,30,14,9,2,1,1
LAC,GSW,44,0.5,0.448,26,21,38,0.521,0.567,36,23,9,0,4,0
CLE,MIL,40,0.563,0.458,30,29,38,0.521,0.375,16,21,3,3,1,1
MIA,SAC,42,0.472,0.292,29,25,43,0.512,0.522,33,16,4,2,0,1
GSW,CHI,39,0.494,0.345,38,20,35,0.398,0.318,28,12,11,2,0,1
LAL,TOR,35,0.455,0.32,32,21,34,0.436,0.455,29,7,16,0,2,0
BOS,BKN,51,0.586,0.345,34,39,35,0.393,0.421,30,30,4,2,2,1
